transaction_hash,start_wallet,end_wallet,start_entity_type,end_entity_type,timestamp,block_number,usd_value,token_symbol,token_address,chain,hop_count,is_self_transfer
28uLFP97CrWga6Hf56o4WHcsECEQANj8zsT1E3AusqCeVAwWJmVagxuV7UWvsTG4Ad5RemPQ5rn8TRyF1uJL5w9i,6QAobLfCrWuUZJeJwciYsxnHJWaFTZcrr2BG2vfAakLV,jNY2DMYNUtCxoCfBZ1PSRUk4ugz4NWBKqZSXy3Pyt71,,,2025-11-23 04:35:45+00:00,381910199,55.4529578698338,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,False
29NKqccou5EZ6evjhiqAYsnjxSCanu9jp5jBP1dPgsyG1fpQxN8NAWrXBYqNmwjdsUVRgj4zGbDjiP7PKmANBTq3,ASyZckSJzRG4BaGEQ8oCY7usVwjWziBYkJELSi72dJLJ,CZggxk7GpvagccmoQ4NSUFod1JQGfUqFdxVL4Lxd2hPJ,,wallet,2025-11-21 12:46:15+00:00,381547556,69.0308015370544,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,3,False
2A14hnEgnRSFTpcdMXC7tYg5oYMyAs67kEJEk9MSCJBKUDgNkbJmkJGiH9bwDCPmskHmndbF4puYgPAbdbLJU6HF,AhR2gTxbKpouGEzTJ86Cki2z2qSDe9p7to8jxYCAWsfZ,AhR2gTxbKpouGEzTJ86Cki2z2qSDe9p7to8jxYCAWsfZ,dex-aggregator,dex-aggregator,2025-11-21 17:59:47+00:00,381594996,5.5826582222454,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
2A2xTY8uypgUKp63TT2mmvpEJFeFfDciS8EeQLK8wnL32MPA2Ly1qwM8S3rAJigzi6uR4XykaHLkNpV7aqSCTCor,55944EW3PncAG67EiWctYtHyWdEZVw7EWpppgKYdgyKt,HFTnoDGty9U42UzhRxaZgjqZwHtdCtDRAg9NWw6utyVD,,,2025-11-22 15:09:22+00:00,381787740,120.45880252056538,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,1,False
2ANoAbYdb7GXHrgfamRjoikk6aniBKdnoKEnm7CuMCbRoujHUogbnzo2m5dWHWiT7GzZbEWAA9dsymHH5JE6DyCY,9bswHWE9TyKJzdaV1VexPbhbfmejQ3sZMHLLJE3ro8q4,9bswHWE9TyKJzdaV1VexPbhbfmejQ3sZMHLLJE3ro8q4,dex-aggregator,dex-aggregator,2025-11-21 16:50:49+00:00,381584572,37.356737191163994,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
2AVpz7zv1yCR5cnef49PiMJtKHstQMYttbWjRmf7Yqa6ECuDt5nka4H7wyB7YcLAtWVAmvbvHr7NmJdZHGLwb9MM,2QCaBQPrzpX3EbG9Phh1mE9x6JSuqX44ABBThT6mYuf3,2QCaBQPrzpX3EbG9Phh1mE9x6JSuqX44ABBThT6mYuf3,individual,individual,2025-11-21 16:30:42+00:00,381581551,1.1413283035014,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
2AiNsRCvJpRg8B8SvPb7WqwP18ghcWWU1XWx2WzPogJjJTvFEmgAFJm4Q2adUpAxEiJbmxqRwTe8QCjeKjjYmmdY,DqhQ1rB2ZHD6P12DEBw9TbaCgKKKwPJHhDizdVpy9JjV,EAkVUUtxAzHmPuftFFFQS9HVuXzXjeJbkjCqG4oVCsud,,,2025-11-21 04:12:10+00:00,381469737,173238.4226793,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,1,False
2AwLTwRyL6eZ7w96crZ8ekfUjD1zRWyMHvFcUdwHMFd7QRpEWpcZGuwJ7V5WkuoTRoaXqckzxpxb5bCwYAXzveLp,CPWqAfzJzDPZza16BB22dceKCBktxYGyAxi1kSHjSPLx,CPWqAfzJzDPZza16BB22dceKCBktxYGyAxi1kSHjSPLx,,,2025-11-21 14:12:48+00:00,381560650,0.3226889962326,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
2BPpPRADaRA73DrpeP75dgk5AiFnhuBoQmktinXwpXH2PTjy5dbnSFLUnopSBnXRqTZ3qXtM9r1he44CFa1NrMgn,FYUowdAVvsaPch5oZuF9WxmbKJjyhsqya96pBNpigRjb,FYUowdAVvsaPch5oZuF9WxmbKJjyhsqya96pBNpigRjb,,,2025-11-23 02:18:38+00:00,381889356,0.6967365867959999,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
2BQFCoN54WTeFTPo2bDQZYhysoUcYfe1jAfZDcZmkRLupSU6KRKjguPpbCBSwJCywRJnY1fHcjkhRyPbbDYPLgfw,EXD3r5sAV5xcJYhvuQp6JERpjFw8unVcrPU6EPLaFnBA,EXD3r5sAV5xcJYhvuQp6JERpjFw8unVcrPU6EPLaFnBA,dex-aggregator,dex-aggregator,2025-11-21 16:30:51+00:00,381581574,1.9238257305666,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,3,True
